VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1245.354187;nd_seq 247427; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.777346; -106.942657; -947.641113;phys_gyros   0.099080; -0.033193; -0.052866; ; frame_size 2362;video_stream.frame_number 35320;  hdvideo_stream.frame_number: 0 ; 1431378143.282030 

;navdata_time 1245.359191;nd_seq 247428; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-008 ;phys_accs  19.870598; -103.206764; -949.503418;phys_gyros   0.110362; -0.045897;  0.029178; ; frame_size 2362;video_stream.frame_number 35320;  hdvideo_stream.frame_number: 0 ; 1431378143.287270 

;navdata_time 1245.364013;nd_seq 247429; raw_accs 2072; 2048; 2540; raw_gyros 0047; 0053;-007 ;phys_accs  19.926332; -102.484657; -949.297363;phys_gyros   0.146396; -0.014017;  0.026476; ; frame_size 2362;video_stream.frame_number 35320;  hdvideo_stream.frame_number: 0 ; 1431378143.292749 

;navdata_time 1245.368927;nd_seq 247430; raw_accs 2072; 2048; 2540; raw_gyros 0045; 0053;-006 ;phys_accs  19.959909; -103.669235; -946.460938;phys_gyros   0.065465;  0.009524;  0.045185; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.297137 

;navdata_time 1245.374267;nd_seq 247431; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-007 ;phys_accs  19.918381; -107.444237; -944.198242;phys_gyros   0.059790;  0.007265;  0.030882; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.303586 

;navdata_time 1245.379211;nd_seq 247432; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0054;-006 ;phys_accs  19.911325; -107.797211; -942.391113;phys_gyros  -0.022882;  0.008975; -0.019031; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.314354 

;navdata_time 1245.384124;nd_seq 247433; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0055;-005 ;phys_accs  19.921215; -104.407021; -943.640137;phys_gyros   0.006164; -0.053649; -0.009686; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.314938 

;navdata_time 1245.389373;nd_seq 247434; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0055;-008 ;phys_accs  19.906036; -102.073242; -944.700195;phys_gyros   0.002840; -0.065524; -0.042777; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.319336 

;navdata_time 1245.394409;nd_seq 247435; raw_accs 2072; 2048; 2540; raw_gyros 0048; 0054;-007 ;phys_accs  19.887278; -100.784622; -944.899902;phys_gyros   0.025852; -0.082178; -0.003447; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.323363 

;navdata_time 1245.399291;nd_seq 247436; raw_accs 2072; 2048; 2540; raw_gyros 0048; 0053;-008 ;phys_accs  19.795374; -104.806129; -944.757812;phys_gyros   0.059718; -0.052869;  0.042013; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.328292 

;navdata_time 1245.404174;nd_seq 247437; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0052;-006 ;phys_accs  19.753880; -107.925644; -943.735840;phys_gyros   0.068024;  0.013935;  0.040950; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.332007 

;navdata_time 1245.409118;nd_seq 247438; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0053;-008 ;phys_accs  19.771265; -107.925659; -944.222168;phys_gyros   0.106516;  0.042299;  0.082053; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.338672 

;navdata_time 1245.414459;nd_seq 247439; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0054;-008 ;phys_accs  19.849695; -104.940636; -944.279785;phys_gyros   0.052574;  0.076816;  0.038835; ; frame_size 1861;video_stream.frame_number 35321;  hdvideo_stream.frame_number: 0 ; 1431378143.343519 

;navdata_time 1245.419342;nd_seq 247440; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0055;-005 ;phys_accs  19.927427; -101.151718; -944.400391;phys_gyros   0.046974;  0.015595;  0.027348; ; frame_size 22638;video_stream.frame_number 35322;  hdvideo_stream.frame_number: 0 ; 1431378143.347707 

;navdata_time 1245.424255;nd_seq 247441; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0056;-007 ;phys_accs  19.935524; -99.955879; -944.468750;phys_gyros  -0.002859; -0.047861;  0.031319; ; frame_size 22638;video_stream.frame_number 35322;  hdvideo_stream.frame_number: 0 ; 1431378143.352428 

;navdata_time 1245.429290;nd_seq 247442; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-006 ;phys_accs  19.885357; -101.286011; -944.151855;phys_gyros   0.057495; -0.097767; -0.036222; ; frame_size 22638;video_stream.frame_number 35322;  hdvideo_stream.frame_number: 0 ; 1431378143.362452 

;navdata_time 1245.434631;nd_seq 247443; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-009 ;phys_accs  19.834688; -102.493675; -944.287598;phys_gyros   0.076995; -0.114979;  0.043405; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.362551 

;navdata_time 1245.439422;nd_seq 247444; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-007 ;phys_accs  19.823198; -102.846565; -944.270996;phys_gyros   0.102510; -0.048343; -0.003959; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.368231 

;navdata_time 1245.444396;nd_seq 247445; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0053;-008 ;phys_accs  19.858721; -102.226379; -944.300781;phys_gyros   0.099813; -0.009550;  0.095334; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.373078 

;navdata_time 1245.449462;nd_seq 247446; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-008 ;phys_accs  19.918442; -101.357132; -944.358887;phys_gyros   0.061762;  0.019795;  0.091952; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.377331 

;navdata_time 1245.454376;nd_seq 247447; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0052;-008 ;phys_accs  19.937443; -101.847466; -945.746582;phys_gyros   0.085550;  0.040502;  0.087705; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.381908 

;navdata_time 1245.459747;nd_seq 247448; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-008 ;phys_accs  19.935606; -101.970039; -947.622559;phys_gyros   0.043165;  0.002113;  0.109781; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.390692 

;navdata_time 1245.464477;nd_seq 247449; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-004 ;phys_accs  19.884642; -102.250633; -950.994629;phys_gyros   0.048194;  0.031974;  0.005506; ; frame_size 2498;video_stream.frame_number 35323;  hdvideo_stream.frame_number: 0 ; 1431378143.392521 

;navdata_time 1245.469482;nd_seq 247450; raw_accs 2072; 2044; 2544; raw_gyros 0045; 0054;-005 ;phys_accs  19.833828; -102.204552; -952.607422;phys_gyros   0.004241; -0.013927;  0.020291; ; frame_size 2080;video_stream.frame_number 35324;  hdvideo_stream.frame_number: 0 ; 1431378143.398859 

;navdata_time 1245.474670;nd_seq 247451; raw_accs 2072; 2044; 2544; raw_gyros 0045; 0053;-007 ;phys_accs  19.788118; -101.956444; -953.175293;phys_gyros  -0.012989; -0.003515; -0.087707; ; frame_size 2080;video_stream.frame_number 35324;  hdvideo_stream.frame_number: 0 ; 1431378143.402283 

;navdata_time 1245.479888;nd_seq 247452; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.754658; -102.080742; -952.477539;phys_gyros  -0.005047; -0.023711; -0.068619; ; frame_size 2080;video_stream.frame_number 35324;  hdvideo_stream.frame_number: 0 ; 1431378143.408343 

;navdata_time 1245.484619;nd_seq 247453; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0055;-006 ;phys_accs  19.746403; -102.074715; -951.221191;phys_gyros  -0.012322; -0.047921; -0.045546; ; frame_size 2080;video_stream.frame_number 35324;  hdvideo_stream.frame_number: 0 ; 1431378143.412495 

;navdata_time 1245.489562;nd_seq 247454; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0055;-005 ;phys_accs  19.737570; -102.192986; -951.823730;phys_gyros   0.025426; -0.047308; -0.041088; ; frame_size 2080;video_stream.frame_number 35324;  hdvideo_stream.frame_number: 0 ; 1431378143.417124 

;navdata_time 1245.494628;nd_seq 247455; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0053;-007 ;phys_accs  19.758852; -102.231750; -951.616699;phys_gyros   0.013766; -0.071970;  0.013789; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.422399 

;navdata_time 1245.499725;nd_seq 247456; raw_accs 2072; 2044; 2544; raw_gyros 0044; 0054;-007 ;phys_accs  19.785528; -102.174919; -952.441895;phys_gyros   0.003894; -0.044999; -0.040406; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.428472 

;navdata_time 1245.504669;nd_seq 247457; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-006 ;phys_accs  19.829559; -102.204445; -952.065918;phys_gyros   0.003937; -0.010976; -0.006178; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.432144 

;navdata_time 1245.509643;nd_seq 247458; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0052;-007 ;phys_accs  19.885677; -102.144455; -950.353516;phys_gyros  -0.012493;  0.037059;  0.002274; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.441647 

;navdata_time 1245.515045;nd_seq 247459; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-007 ;phys_accs  19.926443; -102.119682; -948.647461;phys_gyros   0.064233;  0.037977;  0.009904; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.442933 

;navdata_time 1245.519836;nd_seq 247460; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0056;-008 ;phys_accs  19.963511; -102.061340; -945.100098;phys_gyros   0.049574;  0.007885;  0.060194; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.447878 

;navdata_time 1245.524932;nd_seq 247461; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0053;-006 ;phys_accs  19.952242; -101.993111; -943.762207;phys_gyros   0.063930; -0.056483;  0.011426; ; frame_size 2278;video_stream.frame_number 35325;  hdvideo_stream.frame_number: 0 ; 1431378143.453843 

;navdata_time 1245.529815;nd_seq 247462; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0054;-005 ;phys_accs  19.917166; -101.973732; -943.137695;phys_gyros  -0.004943; -0.071823;  0.026716; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.457994 

;navdata_time 1245.534851;nd_seq 247463; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0053;-006 ;phys_accs  19.872444; -101.946159; -943.742676;phys_gyros  -0.025523; -0.039898; -0.028496; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.462514 

;navdata_time 1245.539794;nd_seq 247464; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0052;-007 ;phys_accs  19.839462; -101.951317; -945.067871;phys_gyros   0.017085;  0.018986; -0.049942; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.467656 

;navdata_time 1245.545013;nd_seq 247465; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0056;-009 ;phys_accs  19.851868; -101.948097; -944.373535;phys_gyros   0.057573;  0.040328;  0.000215; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.474947 

;navdata_time 1245.549926;nd_seq 247466; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0056;-008 ;phys_accs  19.866718; -101.959190; -944.669922;phys_gyros   0.106781;  0.000233;  0.033261; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.477532 

;navdata_time 1245.555084;nd_seq 247467; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0054;-007 ;phys_accs  19.890547; -101.976685; -943.833008;phys_gyros   0.059743; -0.084659;  0.124802; ; frame_size 4649;video_stream.frame_number 35326;  hdvideo_stream.frame_number: 0 ; 1431378143.482790 

;navdata_time 1245.559997;nd_seq 247468; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-008 ;phys_accs  19.891827; -101.990738; -944.179688;phys_gyros   0.037357; -0.119633;  0.110685; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.488676 

;navdata_time 1245.564971;nd_seq 247469; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0055;-007 ;phys_accs  19.891241; -101.994232; -944.432129;phys_gyros  -0.008336; -0.115967;  0.072622; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.492615 

;navdata_time 1245.570007;nd_seq 247470; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0054;-005 ;phys_accs  19.904972; -101.985504; -944.271484;phys_gyros   0.026478; -0.063776;  0.018872; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.497855 

;navdata_time 1245.575042;nd_seq 247471; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0054;-007 ;phys_accs  19.930079; -101.978889; -944.455078;phys_gyros   0.003268; -0.026040; -0.026763; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.502664 

;navdata_time 1245.580169;nd_seq 247472; raw_accs 2072; 2044; 2540; raw_gyros 0045; 0054;-005 ;phys_accs  19.965961; -101.982735; -944.186035;phys_gyros   0.005720; -0.025877; -0.040561; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.508239 

;navdata_time 1245.585205;nd_seq 247473; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-007 ;phys_accs  19.987740; -101.997101; -944.256836;phys_gyros  -0.023630; -0.032610; -0.025693; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.512809 

;navdata_time 1245.590148;nd_seq 247474; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0056;-008 ;phys_accs  19.987047; -102.018295; -944.330566;phys_gyros  -0.027582; -0.068286; -0.017989; ; frame_size 3708;video_stream.frame_number 35327;  hdvideo_stream.frame_number: 0 ; 1431378143.517982 

;navdata_time 1245.595367;nd_seq 247475; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0053;-007 ;phys_accs  19.965593; -102.039886; -944.264648;phys_gyros   0.019953; -0.068346;  0.034462; ; frame_size 3776;video_stream.frame_number 35328;  hdvideo_stream.frame_number: 0 ; 1431378143.522997 

;navdata_time 1245.600280;nd_seq 247476; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0054;-007 ;phys_accs  19.930992; -102.058990; -944.354492;phys_gyros   0.041860; -0.069643;  0.055476; ; frame_size 3776;video_stream.frame_number 35328;  hdvideo_stream.frame_number: 0 ; 1431378143.528166 

;navdata_time 1245.605346;nd_seq 247477; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-007 ;phys_accs  19.900291; -102.070312; -944.268066;phys_gyros   0.080040; -0.029593;  0.050234; ; frame_size 3776;video_stream.frame_number 35328;  hdvideo_stream.frame_number: 0 ; 1431378143.533822 

;navdata_time 1245.610382;nd_seq 247478; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-008 ;phys_accs  19.879000; -102.067879; -944.284180;phys_gyros   0.086888; -0.013981;  0.064964; ; frame_size 3776;video_stream.frame_number 35328;  hdvideo_stream.frame_number: 0 ; 1431378143.538363 

