VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1169.016601;nd_seq 232222; raw_accs 2076; 2044; 2548; raw_gyros 0046; 0055;-007 ;phys_accs  27.594322; -102.439255; -960.375488;phys_gyros   0.022037; -0.043250; -0.037911; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.944778 

;navdata_time 1169.022521;nd_seq 232223; raw_accs 2076; 2044; 2548; raw_gyros 0045; 0053;-007 ;phys_accs  27.718307; -102.465080; -961.020020;phys_gyros   0.002772; -0.026499; -0.009812; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.948964 

;navdata_time 1169.026855;nd_seq 232224; raw_accs 2076; 2044; 2548; raw_gyros 0047; 0052;-006 ;phys_accs  27.705973; -102.451042; -960.326172;phys_gyros   0.053532;  0.011948;  0.052615; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.953363 

;navdata_time 1169.032073;nd_seq 232225; raw_accs 2076; 2044; 2544; raw_gyros 0045; 0054;-005 ;phys_accs  27.865839; -102.397530; -957.543457;phys_gyros   0.016705;  0.027107;  0.002461; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.959754 

;navdata_time 1169.037170;nd_seq 232226; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  26.325926; -102.319801; -956.324219;phys_gyros   0.047110;  0.045444; -0.013563; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.963023 

;navdata_time 1169.037170;nd_seq 232227; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  26.325926; -102.319801; -956.324219;phys_gyros   0.047110;  0.045444; -0.013563; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.964990 

;navdata_time 1169.041809;nd_seq 232228; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  24.426809; -102.200470; -952.645020;phys_gyros   0.036982;  0.011072; -0.051721; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.967191 

;navdata_time 1169.046844;nd_seq 232229; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0055;-006 ;phys_accs  20.901501; -102.088539; -951.819336;phys_gyros   0.031235; -0.020564; -0.021798; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.975414 

;navdata_time 1169.051849;nd_seq 232230; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0053;-008 ;phys_accs  19.149944; -102.017517; -950.867676;phys_gyros   0.056415; -0.040379;  0.024376; ; frame_size 1865;video_stream.frame_number 33041;  hdvideo_stream.frame_number: 0 ; 1431378066.977720 

;navdata_time 1169.056884;nd_seq 232231; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-005 ;phys_accs  18.574303; -101.979080; -949.796387;phys_gyros   0.040665; -0.044349;  0.018367; ; frame_size 23045;video_stream.frame_number 33042;  hdvideo_stream.frame_number: 0 ; 1431378066.982104 

;navdata_time 1169.061889;nd_seq 232232; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-005 ;phys_accs  19.227306; -101.983887; -949.394043;phys_gyros   0.091669; -0.012399;  0.009425; ; frame_size 23045;video_stream.frame_number 33042;  hdvideo_stream.frame_number: 0 ; 1431378067.008494 

;navdata_time 1169.067230;nd_seq 232233; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0052;-006 ;phys_accs  20.582750; -101.963387; -945.247070;phys_gyros   0.076770;  0.004541; -0.067250; ; frame_size 23045;video_stream.frame_number 33042;  hdvideo_stream.frame_number: 0 ; 1431378067.016578 

;navdata_time 1169.072143;nd_seq 232234; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0053;-005 ;phys_accs  19.993551; -101.946396; -944.109863;phys_gyros   0.104526;  0.015551; -0.085099; ; frame_size 23045;video_stream.frame_number 33042;  hdvideo_stream.frame_number: 0 ; 1431378067.021210 

;navdata_time 1169.077117;nd_seq 232235; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0055;-008 ;phys_accs  20.239038; -101.939636; -942.678223;phys_gyros   0.073657;  0.023418; -0.054703; ; frame_size 23045;video_stream.frame_number 33042;  hdvideo_stream.frame_number: 0 ; 1431378067.021376 

;navdata_time 1169.082000;nd_seq 232236; raw_accs 2072; 2044; 2540; raw_gyros 0046; 0053;-006 ;phys_accs  19.419661; -101.937569; -943.622070;phys_gyros   0.069465;  0.010467; -0.039979; ; frame_size 2459;video_stream.frame_number 33043;  hdvideo_stream.frame_number: 0 ; 1431378067.021590 

;navdata_time 1169.086975;nd_seq 232237; raw_accs 2072; 2044; 2540; raw_gyros 0043; 0053;-007 ;phys_accs  19.788803; -101.963875; -945.191895;phys_gyros   0.012820;  0.013769;  0.052926; ; frame_size 2459;video_stream.frame_number 33043;  hdvideo_stream.frame_number: 0 ; 1431378067.021703 

;navdata_time 1169.092681;nd_seq 232238; raw_accs 2072; 2048; 2540; raw_gyros 0046; 0056;-008 ;phys_accs  20.001505; -103.498863; -944.378906;phys_gyros  -0.001495; -0.017090;  0.024966; ; frame_size 2459;video_stream.frame_number 33043;  hdvideo_stream.frame_number: 0 ; 1431378067.021786 

