VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 535.588592;nd_seq 106006; raw_accs 2072; 2040; 2548; raw_gyros 0037; 0052;-006 ;phys_accs  19.878086; -94.252304; -959.589844;phys_gyros   0.084784; -0.050936; -0.074612; ; frame_size 1847;video_stream.frame_number 15694;  hdvideo_stream.frame_number: 0 ; 1431377433.500019 

;navdata_time 535.594024;nd_seq 106007; raw_accs 2072; 2040; 2548; raw_gyros 0036; 0052;-005 ;phys_accs  19.901619; -94.213242; -959.599121;phys_gyros   0.074285; -0.000537; -0.094011; ; frame_size 1847;video_stream.frame_number 15694;  hdvideo_stream.frame_number: 0 ; 1431377433.506531 

;navdata_time 535.598327;nd_seq 106008; raw_accs 2072; 2040; 2548; raw_gyros 0037; 0052;-005 ;phys_accs  19.927422; -94.190964; -959.587402;phys_gyros   0.041222;  0.072828; -0.069513; ; frame_size 1847;video_stream.frame_number 15694;  hdvideo_stream.frame_number: 0 ; 1431377433.508216 

;navdata_time 535.603973;nd_seq 106009; raw_accs 2072; 2040; 2548; raw_gyros 0036; 0053;-006 ;phys_accs  19.940355; -94.190125; -959.594727;phys_gyros   0.018446;  0.038406; -0.077434; ; frame_size 1847;video_stream.frame_number 15694;  hdvideo_stream.frame_number: 0 ; 1431377433.514359 

;navdata_time 535.608428;nd_seq 106010; raw_accs 2072; 2040; 2548; raw_gyros 0036; 0054;-006 ;phys_accs  19.927311; -94.209770; -959.593262;phys_gyros   0.022857; -0.002691; -0.045848; ; frame_size 1871;video_stream.frame_number 15695;  hdvideo_stream.frame_number: 0 ; 1431377433.518124 

;navdata_time 535.608428;nd_seq 106011; raw_accs 2072; 2040; 2548; raw_gyros 0036; 0054;-006 ;phys_accs  19.927311; -94.209770; -959.593262;phys_gyros   0.022857; -0.002691; -0.045848; ; frame_size 1871;video_stream.frame_number 15695;  hdvideo_stream.frame_number: 0 ; 1431377433.521497 

;navdata_time 535.613433;nd_seq 106012; raw_accs 2072; 2040; 2548; raw_gyros 0038; 0051;-006 ;phys_accs  19.887138; -94.246834; -959.591797;phys_gyros   0.015675; -0.024046; -0.051033; ; frame_size 1871;video_stream.frame_number 15695;  hdvideo_stream.frame_number: 0 ; 1431377433.523277 

;navdata_time 535.618469;nd_seq 106013; raw_accs 2072; 2040; 2548; raw_gyros 0037; 0051;-007 ;phys_accs  19.834503; -94.293549; -959.595703;phys_gyros   0.049352; -0.023290; -0.021181; ; frame_size 1871;video_stream.frame_number 15695;  hdvideo_stream.frame_number: 0 ; 1431377433.529513 

