VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.738922;nd_seq 383443; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.386827; -106.542297; -951.980469;phys_gyros   0.013498;  0.000858; -0.016764; ; frame_size 5890;video_stream.frame_number 48992;  hdvideo_stream.frame_number: 0 ; 1431378826.773996 

;navdata_time 1928.743774;nd_seq 383444; raw_accs 2072; 2044; 2544; raw_gyros 0051; 0054;-005 ;phys_accs  19.747934; -102.930466; -951.967773;phys_gyros   0.000908; -0.008005; -0.050115; ; frame_size 5890;video_stream.frame_number 48992;  hdvideo_stream.frame_number: 0 ; 1431378826.780377 

;navdata_time 1928.748870;nd_seq 383445; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0055;-006 ;phys_accs  19.911856; -102.929794; -951.971680;phys_gyros   0.040045; -0.027829; -0.036874; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.786786 

;navdata_time 1928.753875;nd_seq 383446; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-007 ;phys_accs  19.813374; -104.277596; -951.976074;phys_gyros   0.043320; -0.049673; -0.034155; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.793306 

;navdata_time 1928.753875;nd_seq 383447; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-007 ;phys_accs  19.813374; -104.277596; -951.976074;phys_gyros   0.043320; -0.049673; -0.034155; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.799016 

;navdata_time 1928.759155;nd_seq 383448; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.779758; -108.467560; -952.000977;phys_gyros   0.010835; -0.023532; -0.027865; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.799791 

;navdata_time 1928.764038;nd_seq 383449; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.534691; -111.503319; -952.011230;phys_gyros  -0.013342; -0.018707; -0.015782; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.800471 

;navdata_time 1928.768859;nd_seq 383450; raw_accs 2072; 2048; 2540; raw_gyros 0048; 0054;-006 ;phys_accs  19.600660; -111.378899; -950.520996;phys_gyros  -0.074447; -0.000686; -0.017348; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.806024 

;navdata_time 1928.773895;nd_seq 383451; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  19.656443; -110.940147; -950.183105;phys_gyros  -0.082913;  0.010636; -0.032399; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.809050 

;navdata_time 1928.773895;nd_seq 383452; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  19.656443; -110.940147; -950.183105;phys_gyros  -0.082913;  0.010636; -0.032399; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.811279 

;navdata_time 1928.778961;nd_seq 383453; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0053;-007 ;phys_accs  19.691376; -108.763000; -948.607910;phys_gyros  -0.042126;  0.018551; -0.037453; ; frame_size 5805;video_stream.frame_number 48993;  hdvideo_stream.frame_number: 0 ; 1431378826.813905 

;navdata_time 1928.783966;nd_seq 383454; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0051;-008 ;phys_accs  19.699778; -109.793663; -950.399902;phys_gyros  -0.030573;  0.069608; -0.030694; ; frame_size 16524;video_stream.frame_number 48994;  hdvideo_stream.frame_number: 0 ; 1431378826.819840 

;navdata_time 1928.789215;nd_seq 383455; raw_accs 2072; 2048; 2544; raw_gyros 0050; 0055;-004 ;phys_accs  19.628658; -109.859657; -951.463867;phys_gyros   0.049934;  0.063163; -0.013720; ; frame_size 16524;video_stream.frame_number 48994;  hdvideo_stream.frame_number: 0 ; 1431378826.826781 

