VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1279.294860;nd_seq 254196; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-004 ;phys_accs  19.817858; -100.918098; -952.027344;phys_gyros   0.026474; -0.008624; -0.022155; ; frame_size 2572;video_stream.frame_number 36338;  hdvideo_stream.frame_number: 0 ; 1431378177.223837 

;navdata_time 1279.299804;nd_seq 254197; raw_accs 2076; 2044; 2540; raw_gyros 0044; 0053;-005 ;phys_accs  21.409348; -101.553146; -950.519043;phys_gyros  -0.027899;  0.000124; -0.058763; ; frame_size 2572;video_stream.frame_number 36338;  hdvideo_stream.frame_number: 0 ; 1431378177.229421 

;navdata_time 1279.304687;nd_seq 254198; raw_accs 2076; 2044; 2544; raw_gyros 0045; 0054;-005 ;phys_accs  23.220572; -103.009850; -950.283203;phys_gyros  -0.059061; -0.026910; -0.121305; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.233492 

;navdata_time 1279.309692;nd_seq 254199; raw_accs 2076; 2044; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  26.789288; -102.419281; -948.666016;phys_gyros  -0.064565;  0.002474; -0.107429; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.238986 

;navdata_time 1279.314941;nd_seq 254200; raw_accs 2076; 2044; 2544; raw_gyros 0046; 0052;-005 ;phys_accs  28.340307; -102.670868; -950.503906;phys_gyros  -0.068450;  0.047242; -0.098577; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.245233 

;navdata_time 1279.319885;nd_seq 254201; raw_accs 2076; 2044; 2544; raw_gyros 0045; 0053;-005 ;phys_accs  28.919672; -101.888145; -951.621094;phys_gyros  -0.004150;  0.045750; -0.061614; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.249012 

;navdata_time 1279.324768;nd_seq 254202; raw_accs 2076; 2044; 2540; raw_gyros 0047; 0053;-005 ;phys_accs  28.255390; -102.216133; -951.300781;phys_gyros  -0.001152;  0.081683; -0.057413; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.254065 

;navdata_time 1279.329772;nd_seq 254203; raw_accs 2076; 2044; 2540; raw_gyros 0049; 0053;-007 ;phys_accs  26.936794; -102.441010; -950.091309;phys_gyros   0.044652;  0.043594; -0.069656; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.260313 

;navdata_time 1279.335174;nd_seq 254204; raw_accs 2076; 2044; 2540; raw_gyros 0048; 0052;-007 ;phys_accs  27.657749; -102.241501; -944.789551;phys_gyros   0.063940;  0.062458; -0.042952; ; frame_size 2186;video_stream.frame_number 36339;  hdvideo_stream.frame_number: 0 ; 1431378177.269115 

