VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 14.789459;nd_seq 2143; raw_accs 2084; 2044; 2568; raw_gyros 0015; 0056;-004 ;phys_accs  42.157944; -102.946320; -998.453064;phys_gyros  -0.238587; -0.280448; -0.013159; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.705147 

;navdata_time 14.799560;nd_seq 2145; raw_accs 2088; 2044; 2568; raw_gyros 0017; 0054;-006 ;phys_accs  47.894104; -103.698425; -998.563416;phys_gyros  -0.282839; -0.239705; -0.007006; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.707965 

;navdata_time 14.804412;nd_seq 2146; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0056;-002 ;phys_accs  50.574902; -101.855652; -998.607849;phys_gyros  -0.234343; -0.174158; -0.042461; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.713112 

;navdata_time 14.809417;nd_seq 2147; raw_accs 2088; 2040; 2568; raw_gyros 0014; 0054;-006 ;phys_accs  52.032047; -99.772400; -998.615662;phys_gyros  -0.268146; -0.247324;  0.012401; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.720252 

;navdata_time 14.814544;nd_seq 2148; raw_accs 2088; 2040; 2568; raw_gyros 0016; 0055;-005 ;phys_accs  52.113022; -96.431808; -998.608826;phys_gyros  -0.260339; -0.253495; -0.010743; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.722956 

;navdata_time 14.819580;nd_seq 2149; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0056;-005 ;phys_accs  51.270634; -94.606461; -998.578064;phys_gyros  -0.271378; -0.290739;  0.032446; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.728473 

;navdata_time 14.824462;nd_seq 2150; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  50.591511; -94.315079; -998.565369;phys_gyros  -0.282848; -0.323293;  0.035753; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.732691 

;navdata_time 14.824462;nd_seq 2151; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  50.591511; -94.315079; -998.565369;phys_gyros  -0.282848; -0.323293;  0.035753; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.736957 

;navdata_time 14.829559;nd_seq 2152; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0054;-004 ;phys_accs  51.030697; -94.930908; -998.579529;phys_gyros  -0.207512; -0.264461;  0.012376; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.738510 

;navdata_time 14.834472;nd_seq 2153; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0057;-002 ;phys_accs  50.823795; -96.169029; -998.578552;phys_gyros  -0.184713; -0.311686;  0.009792; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.743564 

;navdata_time 14.839599;nd_seq 2154; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0055;-004 ;phys_accs  51.602741; -95.595673; -998.592224;phys_gyros  -0.117917; -0.274045; -0.081898; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.748008 

;navdata_time 14.844482;nd_seq 2155; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0056;-005 ;phys_accs  51.136723; -95.687180; -998.582947;phys_gyros  -0.136319; -0.324176; -0.059089; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.752822 

;navdata_time 14.849639;nd_seq 2156; raw_accs 2088; 2044; 2568; raw_gyros 0015; 0054;-005 ;phys_accs  51.131077; -96.432732; -998.584412;phys_gyros  -0.176294; -0.310140; -0.060317; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.760791 

;navdata_time 14.854492;nd_seq 2157; raw_accs 2084; 2044; 2572; raw_gyros 0018; 0055;-006 ;phys_accs  49.628483; -98.612770; -1000.061951;phys_gyros  -0.196256; -0.292839;  0.030760; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.763072 

;navdata_time 14.859558;nd_seq 2158; raw_accs 2084; 2044; 2572; raw_gyros 0018; 0055;-004 ;phys_accs  47.540932; -102.260803; -1001.864685;phys_gyros  -0.234038; -0.271264;  0.058099; ; frame_size 1434;video_stream.frame_number 323;  hdvideo_stream.frame_number: 0 ; 1431376912.767946 

;navdata_time 14.864471;nd_seq 2159; raw_accs 2084; 2044; 2568; raw_gyros 0014; 0054;-005 ;phys_accs  44.244465; -103.745064; -1003.709412;phys_gyros  -0.223961; -0.234199;  0.065699; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.774242 

;navdata_time 14.869537;nd_seq 2160; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  42.424179; -104.390686; -1003.452087;phys_gyros  -0.228777; -0.260927;  0.019775; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.777885 

;navdata_time 14.874511;nd_seq 2161; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0054;-004 ;phys_accs  41.883289; -103.451340; -1000.586853;phys_gyros  -0.258611; -0.229578; -0.003851; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.782808 

;navdata_time 14.879821;nd_seq 2162; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0055;-006 ;phys_accs  42.607513; -102.247543; -998.328064;phys_gyros  -0.208505; -0.276792;  0.004740; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.788419 

;navdata_time 14.884704;nd_seq 2163; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0054;-005 ;phys_accs  43.825886; -103.000458; -996.536560;phys_gyros  -0.230419; -0.227073;  0.018064; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.793581 

;navdata_time 14.889892;nd_seq 2164; raw_accs 2084; 2044; 2568; raw_gyros 0015; 0056;-004 ;phys_accs  43.241493; -102.799782; -997.802185;phys_gyros  -0.183999; -0.271771;  0.051464; ; frame_size 1653;video_stream.frame_number 324;  hdvideo_stream.frame_number: 0 ; 1431376912.798497 

;navdata_time 14.894500;nd_seq 2165; raw_accs 2084; 2044; 2564; raw_gyros 0016; 0055;-003 ;phys_accs  43.381947; -103.742516; -997.385193;phys_gyros  -0.217571; -0.263585; -0.003710; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.806646 

;navdata_time 14.899597;nd_seq 2166; raw_accs 2088; 2044; 2564; raw_gyros 0015; 0056;-004 ;phys_accs  44.106487; -103.290466; -995.772400;phys_gyros  -0.296048; -0.302550; -0.022472; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.808250 

;navdata_time 14.904571;nd_seq 2167; raw_accs 2088; 2044; 2568; raw_gyros 0016; 0054;-008 ;phys_accs  46.425316; -103.080498; -993.760681;phys_gyros  -0.290530; -0.306390; -0.024441; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.814079 

;navdata_time 14.909545;nd_seq 2168; raw_accs 2088; 2044; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  50.167240; -103.266243; -993.017517;phys_gyros  -0.331415; -0.286059;  0.003358; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.819973 

;navdata_time 14.914703;nd_seq 2169; raw_accs 2084; 2044; 2568; raw_gyros 0016; 0055;-004 ;phys_accs  50.188316; -103.111023; -996.353943;phys_gyros  -0.245986; -0.274976;  0.092556; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.823203 

;navdata_time 14.919738;nd_seq 2170; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0053;-005 ;phys_accs  49.007130; -103.415871; -998.674255;phys_gyros  -0.217414; -0.224179;  0.060542; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.828297 

;navdata_time 14.924621;nd_seq 2171; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0054;-006 ;phys_accs  44.553711; -103.254166; -1000.538025;phys_gyros  -0.219501; -0.234572;  0.060903; ; frame_size 1189;video_stream.frame_number 325;  hdvideo_stream.frame_number: 0 ; 1431376912.832880 

;navdata_time 14.929595;nd_seq 2172; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0057;-004 ;phys_accs  41.684296; -103.126488; -999.282166;phys_gyros  -0.190303; -0.224950;  0.000856; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.838296 

;navdata_time 14.934692;nd_seq 2173; raw_accs 2084; 2040; 2568; raw_gyros 0018; 0054;-003 ;phys_accs  41.842300; -101.621918; -997.881775;phys_gyros  -0.218686; -0.262538; -0.027106; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.843087 

;navdata_time 14.939636;nd_seq 2174; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0055;-006 ;phys_accs  42.278549; -99.621880; -997.808044;phys_gyros  -0.194471; -0.290494;  0.012725; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.848389 

;navdata_time 14.944793;nd_seq 2175; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-003 ;phys_accs  44.547935; -96.234344; -997.974548;phys_gyros  -0.188925; -0.285393; -0.039899; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.853261 

;navdata_time 14.949798;nd_seq 2176; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0054;-004 ;phys_accs  43.444595; -94.504860; -999.018005;phys_gyros  -0.235168; -0.279417;  0.004703; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.861142 

;navdata_time 14.954681;nd_seq 2177; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-006 ;phys_accs  43.455280; -93.898170; -998.589294;phys_gyros  -0.215848; -0.247998; -0.035088; ; frame_size 1171;video_stream.frame_number 326;  hdvideo_stream.frame_number: 0 ; 1431376912.863179 

;navdata_time 14.959747;nd_seq 2178; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-004 ;phys_accs  42.754639; -94.581360; -998.398865;phys_gyros  -0.254084; -0.237912; -0.003802; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.868783 

;navdata_time 14.964691;nd_seq 2179; raw_accs 2088; 2040; 2568; raw_gyros 0016; 0054;-004 ;phys_accs  44.486111; -95.896286; -998.348572;phys_gyros  -0.228860; -0.260091;  0.022147; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.875729 

;navdata_time 14.969696;nd_seq 2180; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0054;-004 ;phys_accs  45.404034; -95.335007; -998.270447;phys_gyros  -0.208964; -0.239563; -0.020604; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.878558 

;navdata_time 14.974639;nd_seq 2181; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0056;-004 ;phys_accs  48.321995; -95.633217; -998.656677;phys_gyros  -0.222992; -0.272019; -0.000042; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.883015 

;navdata_time 14.980255;nd_seq 2182; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0057;-005 ;phys_accs  46.916576; -96.329254; -998.535583;phys_gyros  -0.180076; -0.272670; -0.048217; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.888908 

;navdata_time 14.984710;nd_seq 2183; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0053;-005 ;phys_accs  47.173012; -98.633461; -998.534607;phys_gyros  -0.200594; -0.289145; -0.009592; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.893040 

;navdata_time 14.989776;nd_seq 2184; raw_accs 2084; 2044; 2568; raw_gyros 0016; 0055;-007 ;phys_accs  43.997246; -102.301117; -998.476013;phys_gyros  -0.193941; -0.317071;  0.045664; ; frame_size 1154;video_stream.frame_number 327;  hdvideo_stream.frame_number: 0 ; 1431376912.899387 

;navdata_time 14.994842;nd_seq 2185; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0054;-005 ;phys_accs  42.405945; -103.803764; -998.384216;phys_gyros  -0.208382; -0.246558;  0.059812; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.903477 

;navdata_time 14.999938;nd_seq 2186; raw_accs 2084; 2044; 2564; raw_gyros 0017; 0053;-006 ;phys_accs  43.038296; -104.499680; -997.009216;phys_gyros  -0.241722; -0.231391;  0.123929; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.910125 

;navdata_time 15.004730;nd_seq 2187; raw_accs 2084; 2044; 2564; raw_gyros 0018; 0055;-003 ;phys_accs  41.672817; -103.474396; -995.117126;phys_gyros  -0.206786; -0.186765;  0.038158; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.913069 

;navdata_time 15.010009;nd_seq 2188; raw_accs 2084; 2044; 2564; raw_gyros 0017; 0056;-004 ;phys_accs  44.683479; -102.245453; -991.783630;phys_gyros  -0.200934; -0.212509;  0.020196; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.921782 

;navdata_time 15.014862;nd_seq 2189; raw_accs 2084; 2044; 2564; raw_gyros 0017; 0053;-005 ;phys_accs  42.590981; -102.873558; -990.142029;phys_gyros  -0.169030; -0.264140; -0.038671; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.925080 

;navdata_time 15.019805;nd_seq 2190; raw_accs 2084; 2044; 2568; raw_gyros 0016; 0053;-004 ;phys_accs  43.812160; -102.646263; -991.084900;phys_gyros  -0.186138; -0.241986; -0.056848; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.928262 

;navdata_time 15.024719;nd_seq 2191; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0054;-005 ;phys_accs  42.853321; -103.587349; -993.594177;phys_gyros  -0.212189; -0.232671;  0.008341; ; frame_size 1170;video_stream.frame_number 328;  hdvideo_stream.frame_number: 0 ; 1431376912.932920 

