VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 586.462646;nd_seq 116161; raw_accs 2076; 2040; 2552; raw_gyros 0038; 0052;-005 ;phys_accs  27.593836; -102.110954; -966.735840;phys_gyros   0.089943;  0.074919;  0.082679; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.373468 

;navdata_time 586.467712;nd_seq 116162; raw_accs 2076; 2044; 2552; raw_gyros 0037; 0052;-007 ;phys_accs  27.630154; -99.634499; -967.405273;phys_gyros   0.025380;  0.049535; -0.002143; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.379543 

;navdata_time 586.472778;nd_seq 116163; raw_accs 2076; 2044; 2552; raw_gyros 0038; 0051;-006 ;phys_accs  27.631893; -99.642250; -967.020996;phys_gyros   0.003857;  0.062606; -0.029483; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.383378 

;navdata_time 586.477722;nd_seq 116164; raw_accs 2076; 2040; 2548; raw_gyros 0038; 0051;-007 ;phys_accs  27.653160; -98.467728; -966.396973;phys_gyros  -0.009761;  0.033132; -0.063182; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.388492 

;navdata_time 586.482879;nd_seq 116165; raw_accs 2076; 2040; 2548; raw_gyros 0039; 0051;-006 ;phys_accs  27.656143; -98.603317; -964.248535;phys_gyros   0.058316;  0.080221; -0.017554; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.393603 

;navdata_time 586.482879;nd_seq 116166; raw_accs 2076; 2040; 2548; raw_gyros 0039; 0051;-006 ;phys_accs  27.656143; -98.603317; -964.248535;phys_gyros   0.058316;  0.080221; -0.017554; ; frame_size 3510;video_stream.frame_number 17223;  hdvideo_stream.frame_number: 0 ; 1431377484.397584 

;navdata_time 586.487915;nd_seq 116167; raw_accs 2076; 2040; 2548; raw_gyros 0039; 0053;-008 ;phys_accs  27.718683; -96.268944; -960.591797;phys_gyros   0.088298;  0.107456;  0.037212; ; frame_size 3685;video_stream.frame_number 17224;  hdvideo_stream.frame_number: 0 ; 1431377484.399284 

;navdata_time 586.493164;nd_seq 116168; raw_accs 2076; 2040; 2548; raw_gyros 0037; 0051;-005 ;phys_accs  27.746521; -94.724945; -959.148438;phys_gyros   0.092915;  0.081832;  0.012403; ; frame_size 3685;video_stream.frame_number 17224;  hdvideo_stream.frame_number: 0 ; 1431377484.404050 

;navdata_time 586.497863;nd_seq 116169; raw_accs 2076; 2040; 2548; raw_gyros 0038; 0053;-007 ;phys_accs  27.777367; -92.776573; -958.384277;phys_gyros   0.080486;  0.054332;  0.024888; ; frame_size 3685;video_stream.frame_number 17224;  hdvideo_stream.frame_number: 0 ; 1431377484.408825 

;navdata_time 586.503021;nd_seq 116170; raw_accs 2076; 2040; 2548; raw_gyros 0037; 0052;-006 ;phys_accs  27.740587; -93.823334; -959.329590;phys_gyros   0.011393;  0.011484; -0.035646; ; frame_size 3685;video_stream.frame_number 17224;  hdvideo_stream.frame_number: 0 ; 1431377484.413963 

;navdata_time 586.508270;nd_seq 116171; raw_accs 2076; 2040; 2548; raw_gyros 0038; 0052;-007 ;phys_accs  27.716438; -94.390869; -960.543457;phys_gyros   0.025332;  0.017098; -0.015783; ; frame_size 4047;video_stream.frame_number 17225;  hdvideo_stream.frame_number: 0 ; 1431377484.421369 

;navdata_time 586.512939;nd_seq 116172; raw_accs 2076; 2040; 2552; raw_gyros 0038; 0053;-006 ;phys_accs  27.709295; -95.022629; -961.347168;phys_gyros  -0.001533;  0.024642; -0.005665; ; frame_size 4047;video_stream.frame_number 17225;  hdvideo_stream.frame_number: 0 ; 1431377484.426357 

