VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1419.095245;nd_seq 282036; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0054;-007 ;phys_accs  19.926556; -101.353752; -950.118164;phys_gyros   0.052254; -0.019427; -0.019242; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.028841 

;navdata_time 1419.100250;nd_seq 282037; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0055;-007 ;phys_accs  19.944607; -100.444420; -947.082520;phys_gyros   0.031607; -0.036790;  0.005910; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.051267 

;navdata_time 1419.105285;nd_seq 282038; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0057;-008 ;phys_accs  19.962017; -101.929832; -947.037109;phys_gyros   0.042550; -0.057265;  0.009098; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.052306 

;navdata_time 1419.110473;nd_seq 282039; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0054;-008 ;phys_accs  19.924145; -102.917007; -944.713867;phys_gyros   0.028215; -0.090749;  0.054893; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.052935 

;navdata_time 1419.115295;nd_seq 282040; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-008 ;phys_accs  19.890701; -103.496368; -945.814453;phys_gyros   0.016360; -0.102687;  0.086542; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.053918 

;navdata_time 1419.120361;nd_seq 282041; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-008 ;phys_accs  19.856274; -104.279839; -947.709473;phys_gyros   0.025744; -0.047950;  0.106903; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.054647 

;navdata_time 1419.125610;nd_seq 282042; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  19.803843; -104.889359; -949.885254;phys_gyros  -0.006128; -0.026756;  0.087892; ; frame_size 2498;video_stream.frame_number 40491;  hdvideo_stream.frame_number: 0 ; 1431378317.074455 

;navdata_time 1419.130462;nd_seq 282043; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0052;-007 ;phys_accs  19.780676; -105.274117; -953.584961;phys_gyros  -0.001090;  0.049886;  0.067399; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.076119 

;navdata_time 1419.135437;nd_seq 282044; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.765493; -106.254539; -952.497070;phys_gyros  -0.024913;  0.044046;  0.021529; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.077088 

;navdata_time 1419.140533;nd_seq 282045; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-005 ;phys_accs  19.737175; -106.767906; -953.225586;phys_gyros  -0.016582;  0.036409;  0.003961; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.077854 

;navdata_time 1419.145660;nd_seq 282046; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.745626; -106.140511; -950.992188;phys_gyros   0.003266;  0.013442; -0.023886; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.093518 

;navdata_time 1419.150482;nd_seq 282047; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0055;-005 ;phys_accs  19.713419; -104.811806; -951.612305;phys_gyros  -0.006947; -0.062285; -0.062542; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.094202 

;navdata_time 1419.155609;nd_seq 282048; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0055;-008 ;phys_accs  19.731873; -101.803070; -951.893555;phys_gyros   0.018548; -0.068409; -0.033293; ; frame_size 2203;video_stream.frame_number 40492;  hdvideo_stream.frame_number: 0 ; 1431378317.094814 

;navdata_time 1419.160583;nd_seq 282049; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-006 ;phys_accs  19.719437; -101.047661; -952.163086;phys_gyros  -0.003886; -0.082237; -0.046372; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.096699 

;navdata_time 1419.165832;nd_seq 282050; raw_accs 2072; 2044; 2548; raw_gyros 0046; 0055;-006 ;phys_accs  19.713175; -101.072021; -953.785156;phys_gyros   0.021240; -0.047921;  0.014375; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.099171 

;navdata_time 1419.170745;nd_seq 282051; raw_accs 2072; 2044; 2548; raw_gyros 0048; 0054;-006 ;phys_accs  19.716629; -102.432571; -955.115234;phys_gyros   0.031013;  0.002751;  0.000253; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.120906 

;navdata_time 1419.175842;nd_seq 282052; raw_accs 2072; 2044; 2548; raw_gyros 0046; 0052;-006 ;phys_accs  19.723583; -102.899277; -958.596191;phys_gyros   0.002789;  0.008667; -0.021557; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.121583 

;navdata_time 1419.180572;nd_seq 282053; raw_accs 2072; 2044; 2548; raw_gyros 0046; 0053;-008 ;phys_accs  19.764917; -102.493629; -960.240723;phys_gyros   0.004873;  0.037728; -0.002431; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.122266 

;navdata_time 1419.185760;nd_seq 282054; raw_accs 2072; 2044; 2548; raw_gyros 0045; 0056;-009 ;phys_accs  19.794554; -101.854294; -960.823242;phys_gyros  -0.074387;  0.017373; -0.003829; ; frame_size 3951;video_stream.frame_number 40493;  hdvideo_stream.frame_number: 0 ; 1431378317.122948 

