VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1370.985504;nd_seq 272453; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.628384; -110.664497; -952.444336;phys_gyros   0.043275;  0.002223;  0.015184; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.924567 

;navdata_time 1370.990570;nd_seq 272454; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0055;-006 ;phys_accs  19.701777; -106.678467; -952.123535;phys_gyros   0.036977; -0.001481;  0.012860; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.925547 

;navdata_time 1370.995513;nd_seq 272456; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.762939; -103.685448; -951.827148;phys_gyros   0.046970; -0.058069; -0.025528; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.927510 

;navdata_time 1371.000457;nd_seq 272457; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.751148; -105.099403; -952.040527;phys_gyros   0.024956; -0.060517; -0.037586; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.940806 

;navdata_time 1371.005432;nd_seq 272458; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.768646; -105.535889; -951.803223;phys_gyros   0.054046; -0.057887; -0.010554; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.942511 

;navdata_time 1371.010650;nd_seq 272459; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0054;-009 ;phys_accs  19.732973; -109.061630; -952.103516;phys_gyros   0.045203;  0.003451;  0.035925; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.946905 

;navdata_time 1371.010650;nd_seq 272460; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0054;-009 ;phys_accs  19.732973; -109.061630; -952.103516;phys_gyros   0.045203;  0.003451;  0.035925; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.948181 

;navdata_time 1371.015533;nd_seq 272461; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.776249; -108.474541; -952.041992;phys_gyros   0.052924;  0.035923;  0.069324; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.948880 

;navdata_time 1371.020477;nd_seq 272462; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  19.792284; -108.791946; -951.956543;phys_gyros   0.025083;  0.021297;  0.048915; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.952373 

;navdata_time 1371.025878;nd_seq 272463; raw_accs 2072; 2048; 2544; raw_gyros 0045; 0053;-007 ;phys_accs  19.785276; -109.131142; -952.045898;phys_gyros   0.017284;  0.017338;  0.006132; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.959213 

;navdata_time 1371.030670;nd_seq 272464; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.750328; -109.707611; -951.939453;phys_gyros   0.003981; -0.022225; -0.038777; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.962721 

;navdata_time 1371.030670;nd_seq 272465; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.750328; -109.707611; -951.939453;phys_gyros   0.003981; -0.022225; -0.038777; ; frame_size 2161;video_stream.frame_number 39050;  hdvideo_stream.frame_number: 0 ; 1431378268.964950 

